"Woningtype","Jaartal","Aantal_verkochte_woningen","Gemiddelde_verkoopprijs_euro"
"Totaal_woningen",2005,206629,222706
"Totaal_woningen",2006,209767,235843
"Totaal_woningen",2007,202401,248325
"Totaal_woningen",2008,182392,254918
"Totaal_woningen",2009,127532,238259
"Totaal_woningen",2010,126127,239530
"Totaal_woningen",2011,120739,240059
"Totaal_woningen",2012,117261,226661
"Totaal_woningen",2013,110094,213353
"Totaal_woningen",2014,153511,222218
"Totaal_woningen",2015,178293,230194
"Totaal_woningen",2016,214793,243837
"Totaal_woningen",2017,241860,263295
"Totaal_woningen",2018,218491,287267
"Totaal_woningen",2019,218595,307978
"Totaal_woningen",2020,235511,334488
"Totaal_woningen",2021,226087,386714
"Totaal_woningen",2022,193103,428591
"Totaal_woningen",2023,182403,416153
"Totaal_woningen",2024,206458,450985
"Totaal_woningen",2025,238695,479527
"Eengezinswoningen",2005,138721,243706
"Eengezinswoningen",2006,141791,257208
"Eengezinswoningen",2007,134988,271472
"Eengezinswoningen",2008,122909,277801
"Eengezinswoningen",2009,84352,259553
"Eengezinswoningen",2010,82985,259536
"Eengezinswoningen",2011,80929,259664
"Eengezinswoningen",2012,80740,242475
"Eengezinswoningen",2013,74992,227730
"Eengezinswoningen",2014,104414,237633
"Eengezinswoningen",2015,120839,247897
"Eengezinswoningen",2016,145445,262805
"Eengezinswoningen",2017,169462,281529
"Eengezinswoningen",2018,156657,302394
"Eengezinswoningen",2019,157760,322283
"Eengezinswoningen",2020,169225,351767
"Eengezinswoningen",2021,162034,406541
"Eengezinswoningen",2022,136651,454319
"Eengezinswoningen",2023,128235,441688
"Eengezinswoningen",2024,136488,486456
"Eengezinswoningen",2025,151801,527853
"Tussenwoning",2005,68513,208205
"Tussenwoning",2006,71305,220218
"Tussenwoning",2007,64656,228597
"Tussenwoning",2008,59689,235042
"Tussenwoning",2009,41551,225890
"Tussenwoning",2010,40160,224593
"Tussenwoning",2011,38570,222444
"Tussenwoning",2012,37537,210400
"Tussenwoning",2013,34814,198558
"Tussenwoning",2014,49518,209308
"Tussenwoning",2015,58042,216484
"Tussenwoning",2016,70147,228824
"Tussenwoning",2017,79775,243478
"Tussenwoning",2018,73224,263347
"Tussenwoning",2019,75060,283452
"Tussenwoning",2020,79307,306563
"Tussenwoning",2021,75896,354068
"Tussenwoning",2022,65611,401742
"Tussenwoning",2023,61321,392117
"Tussenwoning",2024,64008,435470
"Tussenwoning",2025,71990,470127
"Hoekwoning",2005,26844,220914
"Hoekwoning",2006,26136,233086
"Hoekwoning",2007,25862,243055
"Hoekwoning",2008,23949,248318
"Hoekwoning",2009,17055,233981
"Hoekwoning",2010,16585,235424
"Hoekwoning",2011,15948,232583
"Hoekwoning",2012,16219,218310
