"Jaartal","Aantal_verkochte_woningen_Totaal woningen","Aantal_verkochte_woningen_Eengezinswoningen","Aantal_verkochte_woningen_Tussenwoning","Aantal_verkochte_woningen_Hoekwoning","Aantal_verkochte_woningen_2-onder-1-kapwoning","Aantal_verkochte_woningen_Vrijstaande woning","Aantal_verkochte_woningen_Appartement","Aantal_verkochte_woningen_Onbekend","Gemiddelde_verkoopprijs_euro_Totaal woningen","Gemiddelde_verkoopprijs_euro_Eengezinswoningen","Gemiddelde_verkoopprijs_euro_Tussenwoning","Gemiddelde_verkoopprijs_euro_Hoekwoning","Gemiddelde_verkoopprijs_euro_2-onder-1-kapwoning","Gemiddelde_verkoopprijs_euro_Vrijstaande woning","Gemiddelde_verkoopprijs_euro_Appartement","Gemiddelde_verkoopprijs_euro_Onbekend"
2011,120739,80929,38570,15948,12992,13419,36140,3670,240059,259664,222444,232583,274256,384702,189419,306418
2012,117261,80740,37537,16219,13181,13803,32868,3653,226661,242475,210400,218310,251196,349768,181118,286897
2013,110094,74992,34814,15213,12102,12863,31835,3267,213353,227730,198558,204264,235291,327322,174099,265855
2014,153511,104414,49518,20394,15834,18668,45297,3800,222218,237633,209308,212458,244941,334073,184539,247802
2015,178293,120839,58042,23533,17786,21478,50177,7277,230194,247897,216484,223974,256146,352167,189371,217710
2016,214793,145445,70147,27187,21252,26859,61619,7729,243837,262805,228824,239632,273154,366820,199559,239900
2017,241860,169462,79775,31594,25064,33029,65424,6974,263295,281529,243478,257011,287867,392079,216783,256538
2018,218491,156657,73224,29507,23112,30814,55762,6072,287267,302394,263347,275440,304376,419505,246814,268506
2019,218595,157760,75060,29401,23487,29812,55025,5810,307978,322283,283452,295138,324443,445122,273316,247797
2020,235511,169225,79307,31462,25230,33226,58621,7665,334488,351767,306563,321147,352301,488251,295837,248622
2021,226087,162034,75896,30381,23971,31786,58430,5623,386714,406541,354068,368441,401935,571721,341061,289755
2022,193103,136651,65611,25676,20198,25166,53926,2526,428591,454319,401742,417084,454950,628877,364996,394384
2023,182403,128235,61321,24431,19064,23419,52658,1510,416153,441688,392117,408742,442602,605116,354395,401282
2024,206458,136488,64008,25540,20421,26519,68084,1886,450985,486456,435470,446521,483654,650139,380110,442510
