"Jaartal","Kenmerken_van_huishoudens","Particuliere_huishoudens_x1000","Totaal_bruto_inkomen_mln.euro","Gemiddeld_bruto_inkomen_1000.euro","Mediaan_bruto_inkomen_1000.euro","Totaal_besteedbaar_inkomen_mln.euro","Gemiddeld_besteedbaar_inkomen_1000.euro","Mediaan_besteedbaar_inkomen_1000.euro","Gemiddeld_gestandaardiseerd_inkomen_x1000_euro","Inflatie","Max_nominal_mortgage_loan_1000.euro","price_index_2011","adjustment_factor_2024","Max_real_mortgage_loan_1000.euro"
2011,"Hoofdkostwinner: 25 tot 45 jaar",2463.4,160185,65,57.5,91821,37.3,34.3,25,2.3,258.75,1.023,1.39009517576756,359.687126729856
2012,"Hoofdkostwinner: 25 tot 45 jaar",2444.9,159823,65.4,57.5,90758,37.1,34,25,2.5,258.75,1.048575,1.35619041538299,350.914269980348
2013,"Hoofdkostwinner: 25 tot 45 jaar",2422.5,159240,65.7,57.6,90557,37.4,34,25.2,2.5,259.2,1.074789375,1.32311260037365,342.950786016849
2014,"Hoofdkostwinner: 25 tot 45 jaar",2393.5,161606,67.5,58.3,93209,38.9,34.8,26.2,1,262.35,1.08553726875,1.31001247561747,343.681772978243
2015,"Hoofdkostwinner: 25 tot 45 jaar",2366.6,157879,66.7,58.2,92661,39.2,35.2,26.5,0.6,261.9,1.0920504923625,1.30219927993784,341.045991415721
2016,"Hoofdkostwinner: 25 tot 45 jaar",2348.3,160886,68.5,59.6,96095,40.9,36.6,27.7,0.3,268.2,1.09532664383959,1.29830436683733,348.205231185772
2017,"Hoofdkostwinner: 25 tot 45 jaar",2345.7,165693,70.6,61.4,98295,41.9,37.4,28.4,1.4,276.3,1.11066121685334,1.28037905999737,353.768734277273
2018,"Hoofdkostwinner: 25 tot 45 jaar",2355,172346,73.2,63.8,101810,43.2,38.7,29.1,1.7,287.1,1.12954245753985,1.2589764601744,361.452141716071
2019,"Hoofdkostwinner: 25 tot 45 jaar",2376.3,183058,77,66.7,108434,45.6,40.4,30.7,2.6,300.15,1.15891056143588,1.2270725732694,368.30583286681
2020,"Hoofdkostwinner: 25 tot 45 jaar",2406.9,190910,79.3,69.4,113502,47.2,42.2,31.8,1.3,312.3,1.17397639873455,1.2113253438,378.29690486874
2021,"Hoofdkostwinner: 25 tot 45 jaar",2424.8,200800,82.8,72.1,120257,49.6,44.5,33.5,2.7,324.45,1.20567376150038,1.1794794,382.68209133
2022,"Hoofdkostwinner: 25 tot 45 jaar",2464.6,219975,89.3,77.9,129734,52.6,47.3,35.6,10,350.55,1.32624113765042,1.072254,375.8786397
2023,"Hoofdkostwinner: 25 tot 45 jaar",2529.1,243142,96.1,82.5,144423,57.1,50.6,38.6,3.8,371.25,1.37663830088114,1.033,383.50125
2024,"Hoofdkostwinner: 25 tot 45 jaar",2563.4,258931,101,87.1,153824,60,53.6,40.6,3.3,391.95,1.42206736481022,1,391.95
