"","Jaartal","Woningvoorraad_1_januari","Nieuwbouw"
"1",2005,6858719,67016
"2",2006,6912405,72382
"3",2007,6967046,80193
"4",2008,7043212,78882
"5",2009,7104518,82932
"6",2010,7172436,55999
"7",2011,7217803,57703
"8",2012,7386743,48668
"9",2013,7449298,49311
"10",2014,7535315,45170
"11",2015,7587964,48381
"12",2016,7641323,54849
"13",2017,7686178,62982
"14",2018,7740984,66585
"15",2019,7814911,71548
"16",2020,7891786,69985
"17",2021,7966331,71221
"18",2022,8045580,74070
"19",2023,8125337,73569
"20",2024,8204113,68966
"21",2025,8274506,0
