"leeftijd_kostwinner","Jaartal","Gemiddeld_gestandaardiseerd_inkomen_x1000_euro","Inflatie"
"Hoofdkostwinner: 25 tot 45 jaar",2011,25,2.3
"Hoofdkostwinner: 25 tot 45 jaar",2012,25,2.5
"Hoofdkostwinner: 25 tot 45 jaar",2013,252,2.5
"Hoofdkostwinner: 25 tot 45 jaar",2014,262,1
"Hoofdkostwinner: 25 tot 45 jaar",2015,265,0.6
"Hoofdkostwinner: 25 tot 45 jaar",2016,277,0.3
"Hoofdkostwinner: 25 tot 45 jaar",2017,284,1.4
"Hoofdkostwinner: 25 tot 45 jaar",2018,291,1.7
"Hoofdkostwinner: 25 tot 45 jaar",2019,307,2.6
"Hoofdkostwinner: 25 tot 45 jaar",2020,318,1.3
"Hoofdkostwinner: 25 tot 45 jaar",2021,335,2.7
"Hoofdkostwinner: 25 tot 45 jaar",2022,356,10
"Hoofdkostwinner: 25 tot 45 jaar",2023,386,3.8
"Hoofdkostwinner: 25 tot 45 jaar",NA,406,NA
