"Jaartal","Max_nominal_mortgage_loan_euro","Max_real_mortgage_loan_euro","Gemiddelde_verkoopprijs_euro_Totaal_woningen","Gemiddelde_verkoopprijs_euro_Tussenwoning","Gemiddelde_verkoopprijs_euro_Appartement","Gemiddelde_verkoopprijs_euro_Hoekwoning"
2011,258750,359687,240059,222444,189419,232583
2012,258750,350914,226661,210400,181118,218310
2013,259200,342951,213353,198558,174099,204264
2014,262350,343682,222218,209308,184539,212458
2015,261900,341046,230194,216484,189371,223974
2016,268200,348205,243837,228824,199559,239632
2017,276300,353769,263295,243478,216783,257011
2018,287100,361452,287267,263347,246814,275440
2019,300150,368306,307978,283452,273316,295138
2020,312300,378297,334488,306563,295837,321147
2021,324450,382682,386714,354068,341061,368441
2022,350550,375879,428591,401742,364996,417084
2023,371250,383501,416153,392117,354395,408742
2024,391950,391950,450985,435470,380110,446521
