"Type.woning","Perioden","Verkochte.bestaande.koopwoningen.Verkochte.woningen..aantal.","Gemiddelde.verkoopprijs..euro.","Totale.waarde.verkoopprijzen..mln.euro."
"Totaal woningen",2005,206629,222706,46017
"Totaal woningen",2006,209767,235843,49472
"Totaal woningen",2007,202401,248325,50261
"Totaal woningen",2008,182392,254918,46495
"Totaal woningen",2009,127532,238259,30386
"Totaal woningen",2010,126127,239530,30211
"Totaal woningen",2011,120739,240059,28984
"Totaal woningen",2012,117261,226661,26578
"Totaal woningen",2013,110094,213353,23489
"Totaal woningen",2014,153511,222218,34113
"Totaal woningen",2015,178293,230194,41042
"Totaal woningen",2016,214793,243837,52374
"Totaal woningen",2017,241860,263295,63680
"Totaal woningen",2018,218491,287267,62765
"Totaal woningen",2019,218595,307978,67322
"Totaal woningen",2020,235511,334488,78776
"Totaal woningen",2021,226087,386714,87431
"Totaal woningen",2022,193103,428591,82762
"Totaal woningen",2023,182403,416153,75908
"Totaal woningen",2024,206458,450985,93109
"Totaal woningen",2025,238695,479527,114461
"Eengezinswoningen",2005,138721,243706,33807
"Eengezinswoningen",2006,141791,257208,36470
"Eengezinswoningen",2007,134988,271472,36645
"Eengezinswoningen",2008,122909,277801,34144
"Eengezinswoningen",2009,84352,259553,21894
"Eengezinswoningen",2010,82985,259536,21538
"Eengezinswoningen",2011,80929,259664,21014
"Eengezinswoningen",2012,80740,242475,19577
"Eengezinswoningen",2013,74992,227730,17078
"Eengezinswoningen",2014,104414,237633,24812
"Eengezinswoningen",2015,120839,247897,29956
"Eengezinswoningen",2016,145445,262805,38224
"Eengezinswoningen",2017,169462,281529,47709
"Eengezinswoningen",2018,156657,302394,47372
"Eengezinswoningen",2019,157760,322283,50843
"Eengezinswoningen",2020,169225,351767,59528
"Eengezinswoningen",2021,162034,406541,65873
"Eengezinswoningen",2022,136651,454319,62083
"Eengezinswoningen",2023,128235,441688,56640
"Eengezinswoningen",2024,136488,486456,66395
"Eengezinswoningen",2025,151801,527853,80129
"Tussenwoning",2005,68513,208205,14265
"Tussenwoning",2006,71305,220218,15703
"Tussenwoning",2007,64656,228597,14780
"Tussenwoning",2008,59689,235042,14029
"Tussenwoning",2009,41551,225890,9386
"Tussenwoning",2010,40160,224593,9020
"Tussenwoning",2011,38570,222444,8580
"Tussenwoning",2012,37537,210400,7898
"Tussenwoning",2013,34814,198558,6913
"Tussenwoning",2014,49518,209308,10364
"Tussenwoning",2015,58042,216484,12565
"Tussenwoning",2016,70147,228824,16051
"Tussenwoning",2017,79775,243478,19423
"Tussenwoning",2018,73224,263347,19283
"Tussenwoning",2019,75060,283452,21276
"Tussenwoning",2020,79307,306563,24313
"Tussenwoning",2021,75896,354068,26872
"Tussenwoning",2022,65611,401742,26359
"Tussenwoning",2023,61321,392117,24045
"Tussenwoning",2024,64008,435470,27874
"Tussenwoning",2025,71990,470127,33844
"Hoekwoning",2005,26844,220914,5930
"Hoekwoning",2006,26136,233086,6092
"Hoekwoning",2007,25862,243055,6286
"Hoekwoning",2008,23949,248318,5947
"Hoekwoning",2009,17055,233981,3991
"Hoekwoning",2010,16585,235424,3904
"Hoekwoning",2011,15948,232583,3709
"Hoekwoning",2012,16219,218310,3541
"Hoekwoning",2013,15213,204264,3107
"Hoekwoning",2014,20394,212458,4333
"Hoekwoning",2015,23533,223974,5271
"Hoekwoning",2016,27187,239632,6515
"Hoekwoning",2017,31594,257011,8120
"Hoekwoning",2018,29507,275440,8127
"Hoekwoning",2019,29401,295138,8677
"Hoekwoning",2020,31462,321147,10104
"Hoekwoning",2021,30381,368441,11194
"Hoekwoning",2022,25676,417084,10709
"Hoekwoning",2023,24431,408742,9986
"Hoekwoning",2024,25540,446521,11404
"Hoekwoning",2025,28367,490011,13900
"2-onder-1-kapwoning",2005,21525,257004,5532
"2-onder-1-kapwoning",2006,22092,271937,6008
"2-onder-1-kapwoning",2007,21609,283259,6121
"2-onder-1-kapwoning",2008,19303,294737,5689
"2-onder-1-kapwoning",2009,13095,270606,3544
"2-onder-1-kapwoning",2010,13379,271991,3639
"2-onder-1-kapwoning",2011,12992,274256,3563
"2-onder-1-kapwoning",2012,13181,251196,3311
"2-onder-1-kapwoning",2013,12102,235291,2847
"2-onder-1-kapwoning",2014,15834,244941,3878
"2-onder-1-kapwoning",2015,17786,256146,4556
"2-onder-1-kapwoning",2016,21252,273154,5805
"2-onder-1-kapwoning",2017,25064,287867,7215
"2-onder-1-kapwoning",2018,23112,304376,7035
"2-onder-1-kapwoning",2019,23487,324443,7620
"2-onder-1-kapwoning",2020,25230,352301,8889
"2-onder-1-kapwoning",2021,23971,401935,9635
"2-onder-1-kapwoning",2022,20198,454950,9189
"2-onder-1-kapwoning",2023,19064,442602,8438
"2-onder-1-kapwoning",2024,20421,483654,9877
"2-onder-1-kapwoning",2025,22569,526955,11893
"Vrijstaande woning",2005,21839,369986,8080
"Vrijstaande woning",2006,22258,389411,8668
"Vrijstaande woning",2007,22861,413739,9458
"Vrijstaande woning",2008,19968,424608,8479
"Vrijstaande woning",2009,12651,393149,4974
"Vrijstaande woning",2010,12861,386784,4974
"Vrijstaande woning",2011,13419,384702,5162
"Vrijstaande woning",2012,13803,349768,4828
"Vrijstaande woning",2013,12863,327322,4210
"Vrijstaande woning",2014,18668,334073,6236
"Vrijstaande woning",2015,21478,352167,7564
"Vrijstaande woning",2016,26859,366820,9852
"Vrijstaande woning",2017,33029,392079,12950
"Vrijstaande woning",2018,30814,419505,12927
"Vrijstaande woning",2019,29812,445122,13270
"Vrijstaande woning",2020,33226,488251,16223
"Vrijstaande woning",2021,31786,571721,18173
"Vrijstaande woning",2022,25166,628877,15826
"Vrijstaande woning",2023,23419,605116,14171
"Vrijstaande woning",2024,26519,650139,17241
"Vrijstaande woning",2025,28875,709651,20491
"Appartement",2005,54353,164914,8964
"Appartement",2006,52657,173973,9161
"Appartement",2007,54608,185747,10143
"Appartement",2008,54117,195121,10559
"Appartement",2009,39555,186370,7372
"Appartement",2010,39037,189543,7399
"Appartement",2011,36140,189419,6846
"Appartement",2012,32868,181118,5953
"Appartement",2013,31835,174099,5542
"Appartement",2014,45297,184539,8359
"Appartement",2015,50177,189371,9502
"Appartement",2016,61619,199559,12297
"Appartement",2017,65424,216783,14183
"Appartement",2018,55762,246814,13763
"Appartement",2019,55025,273316,15039
"Appartement",2020,58621,295837,17342
"Appartement",2021,58430,341061,19928
"Appartement",2022,53926,364996,19683
"Appartement",2023,52658,354395,18662
"Appartement",2024,68084,380110,25879
"Appartement",2025,84859,394258,33456
"Onbekend",2005,13555,239522,3247
"Onbekend",2006,15319,250769,3842
"Onbekend",2007,12805,271174,3472
"Onbekend",2008,5366,333834,1791
"Onbekend",2009,3625,308941,1120
"Onbekend",2010,4105,310476,1275
"Onbekend",2011,3670,306418,1125
"Onbekend",2012,3653,286897,1048
"Onbekend",2013,3267,265855,869
"Onbekend",2014,3800,247802,942
"Onbekend",2015,7277,217710,1584
"Onbekend",2016,7729,239900,1854
"Onbekend",2017,6974,256538,1789
"Onbekend",2018,6072,268506,1630
"Onbekend",2019,5810,247797,1440
"Onbekend",2020,7665,248622,1906
"Onbekend",2021,5623,289755,1629
"Onbekend",2022,2526,394384,996
"Onbekend",2023,1510,401282,606
"Onbekend",2024,1886,442510,835
"Onbekend",2025,2035,430322,876
