"Perioden","Bevolking.op.1.januari.Naar.geslacht.Mannen.en.vrouwen..x.1.000.","Bevolking.op.1.januari.Naar.geslacht.Mannen..x.1.000.","Bevolking.op.1.januari.Naar.geslacht.Vrouwen..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.Totaal.bevolking..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.0.tot.20.jaar..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.20.tot.45.jaar..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.45.tot.65.jaar..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.65.tot.80.jaar..x.1.000.","Bevolking.op.1.januari.Naar.leeftijd.80.jaar.of.ouder..x.1.000.","Bevolking.op.1.januari.Demografische.druk.Groene.druk....","Bevolking.op.1.januari.Demografische.druk.Grijze.druk....","Bevolking.op.1.januari.Naar.burgerlijke.staat.Totale.bevolking..x.1.000.","Bevolking.op.1.januari.Naar.burgerlijke.staat.Ongehuwd..x.1.000.","Bevolking.op.1.januari.Naar.burgerlijke.staat.Gehuwd..x.1.000.","Bevolking.op.1.januari.Naar.burgerlijke.staat.Verweduwd..x.1.000.","Bevolking.op.1.januari.Naar.burgerlijke.staat.Gescheiden..x.1.000.","Bevolking.op.1.januari.Migratieachtergrond..Suriname..x.1.000.","Bevolking.op.1.januari.Migratieachtergrond..Nederlandse.Anti.....x.1.000.","Particuliere.huishoudens.Totaal.particuliere.huishoudens..x.1.000.","Particuliere.huishoudens.Eenpersoonshuishoudens.naar.geslacht.Mannen.en.vrouwen..x.1.000.","Particuliere.huishoudens.Meerpersoonshuishouden..x.1.000.","Particuliere.huishoudens.Gemiddelde.huishoudensgrootte..aantal.","Bevolkingsontwikkeling.Totale.bevolkingsgroei..x.1.000.","Bevolkingsontwikkeling.Totale.bevolkingsgroei..relatief..per.100.inwoners.op.1.januari."
2005,16306,8066,8240,16306,3988,5776,4253,1715,574,39.8,22.8,16306,7450,7003,877,976,329.4,130.5,7091,2449,4642,2.27,29,0.2
2006,16334,8077,8257,16334,3976,5705,4324,1743,587,39.6,23.2,16334,7499,6964,875,996,331.9,129.7,7146,2502,4644,2.26,24,0.1
2007,16358,8089,8269,16358,3957,5629,4404,1768,601,39.4,23.6,16358,7543,6928,872,1015,333.5,130,7191,2537,4654,2.25,47,0.3
2008,16405,8112,8293,16405,3940,5570,4480,1799,615,39.2,24,16405,7602,6898,870,1036,335.8,131.8,7242,2571,4671,2.24,80,0.5
2009,16486,8156,8329,16486,3934,5529,4551,1841,631,39,24.5,16486,7680,6883,867,1056,338.7,134.8,7313,2619,4693,2.23,89,0.5
2010,16575,8203,8372,16575,3928,5490,4619,1890,648,38.9,25.1,16575,7702,6875,867,1131,342.3,138.4,7386,2670,4717,2.22,81,0.5
2011,16656,8243,8412,16656,3914,5459,4689,1927,668,38.6,25.6,16656,7773,6865,866,1151,344.7,141.3,7444,2708,4736,2.21,75,0.4
2012,16730,8283,8447,16730,3895,5430,4689,2030,686,38.5,26.8,16730,7841,6851,866,1172,346.8,144,7513,2762,4751,2.2,49,0.3
2013,16780,8307,8472,16780,3871,5391,4694,2122,703,38.4,28,16780,7896,6824,864,1196,347.6,145.5,7569,2802,4767,2.19,50,0.3
2014,16829,8334,8495,16829,3846,5350,4714,2202,717,38.2,29,16829,7956,6787,863,1222,348.3,146.9,7590,2804,4786,2.18,71,0.4
2015,16901,8373,8528,16901,3828,5311,4754,2273,735,38,29.9,16901,8032,6753,863,1253,348.7,148.9,7665,2868,4797,2.17,78,0.5
2016,16979,8417,8562,16979,3818,5284,4792,2337,749,37.9,30.6,16979,8112,6728,861,1279,349,151,7721,2906,4814,2.17,102,0.6
2017,17082,8475,8606,17082,3817,5281,4824,2395,764,37.8,31.3,17082,8201,6718,860,1302,350,153.5,7794,2961,4833,2.16,100,0.6
2018,17181,8527,8654,17181,3811,5291,4840,2460,779,37.6,32,17181,8288,6710,859,1325,351.7,157.1,7858,2998,4860,2.15,101,0.6
2019,17282,8581,8701,17282,3792,5335,4841,2515,799,37.3,32.6,17282,8374,6707,858,1343,353.9,161.3,7925,3038,4887,2.15,NA,NA
