"Perioden","Regio.s","Bouwen.en.wonen.Woningvoorraad.Voorraad.op.1.januari..aantal.","Bouwen.en.wonen.Woningvoorraad.Nieuwbouw..aantal.","Bouwen.en.wonen.Woningvoorraad.Saldo.voorraad..relatief..per.1.000.woningen.","Bouwen.en.wonen.Woningvoorraad.Woningdichtheid..aantal.woningen.per.km..","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Koopwoningen....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.woningcorporatie....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.overige.verhuurders....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Eigendom.onbekend....","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2005,"Groningen (PV)",247483,2041,"1",106,"","","","",141
2006,"Groningen (PV)",247735,2166,"2,6",106,"54,6","","","3",141
2007,"Groningen (PV)",248371,2147,"4,9",106,"55,1","","","3,2",158
2008,"Groningen (PV)",250383,2984,"7",107,"55,7","","","3,2",174
2009,"Groningen (PV)",252142,2709,"7,3",108,"56,3","31,6","11,6","0,4",179
2010,"Groningen (PV)",253984,1539,"2,7",109,"55,6","31,6","12,3","0,4",180
2011,"Groningen (PV)",254677,1883,"5",110,"55,5","31,3","12,8","0,3",178
2012,"Groningen (PV)",265332,803,"8",114,"55,9","30,4","12,4","1,3",174
2013,"Groningen (PV)",267466,1454,"13,5",115,"55,6","30,5","13","0,9",168
2014,"Groningen (PV)",271087,1088,"6,2",117,"54,9","30,4","13,7","1",159
2015,"Groningen (PV)",272774,1459,"7,1",117,"54,6","31,4","13,3","0,8",154
2016,"Groningen (PV)",274719,1717,"7,3",118,"54,4","30,9","13,8","0,9",154
2017,"Groningen (PV)",276728,1714,"1,4",119,"54,2","30,5","14,4","0,9",157
2018,"Groningen (PV)",277113,2142,"9,2",119,"54,8","29,8","14,3","1",165
2019,"Groningen (PV)",279662,2391,"8,5",120,"55,2","29,9","14,5","0,4",177
2020,"Groningen (PV)",282047,3153,"10,5",121,"54,8","29,5","15,4","0,3",190
2021,"Groningen (PV)",285012,2398,"9",123,"54,4","28,9","16,6","0,2",205
2022,"Groningen (PV)",287568,3205,"10,4",124,"54,3","28,6","16,9","0,2",228
