"Jaartal","Provincies","Woningvoorraad_1_januari","Nieuwbouw"
2005,"Groningen (PV)",247483,2041
2006,"Groningen (PV)",247735,2166
2007,"Groningen (PV)",248371,2147
2008,"Groningen (PV)",250383,2984
2009,"Groningen (PV)",252142,2709
2010,"Groningen (PV)",253984,1539
2011,"Groningen (PV)",254677,1883
2012,"Groningen (PV)",265332,803
2013,"Groningen (PV)",267466,1454
2014,"Groningen (PV)",271087,1088
2015,"Groningen (PV)",272774,1459
2016,"Groningen (PV)",274719,1717
2017,"Groningen (PV)",276728,1714
2018,"Groningen (PV)",277113,2142
2019,"Groningen (PV)",279662,2391
2020,"Groningen (PV)",282047,3153
2021,"Groningen (PV)",285012,2398
2022,"Groningen (PV)",287568,3205
2023,"Groningen (PV)",290563,2279
2024,"Groningen (PV)",292813,2047
2025,"Groningen (PV)",294247,NA
2005,"Fryslân (PV)",271500,2387
2006,"Fryslân (PV)",273395,2732
2007,"Fryslân (PV)",275221,2772
2008,"Fryslân (PV)",277959,2865
2009,"Fryslân (PV)",280356,1940
2010,"Fryslân (PV)",281632,1567
2011,"Fryslân (PV)",282689,1515
2012,"Fryslân (PV)",287341,1269
2013,"Fryslân (PV)",289381,1360
2014,"Fryslân (PV)",292181,1595
2015,"Fryslân (PV)",294169,1329
2016,"Fryslân (PV)",295540,1413
2017,"Fryslân (PV)",296463,1708
2018,"Fryslân (PV)",298425,1926
2019,"Fryslân (PV)",300238,2197
2020,"Fryslân (PV)",302578,2163
2021,"Fryslân (PV)",304693,1936
2022,"Fryslân (PV)",306633,2202
2023,"Fryslân (PV)",308768,1839
2024,"Fryslân (PV)",310787,1609
2025,"Fryslân (PV)",312294,NA
2005,"Drenthe (PV)",199076,2077
2006,"Drenthe (PV)",200729,2266
2007,"Drenthe (PV)",202599,2793
2008,"Drenthe (PV)",204866,2006
2009,"Drenthe (PV)",206331,1823
2010,"Drenthe (PV)",207887,987
2011,"Drenthe (PV)",208462,775
2012,"Drenthe (PV)",219432,737
2013,"Drenthe (PV)",214890,1300
2014,"Drenthe (PV)",218025,639
2015,"Drenthe (PV)",218383,742
2016,"Drenthe (PV)",218625,1021
2017,"Drenthe (PV)",219240,1397
2018,"Drenthe (PV)",220818,1344
2019,"Drenthe (PV)",222197,1568
