"KenmerkenVanPersonen","Geslacht","Perioden","Personen_1","GemiddeldGestandaardiseerdInkomen_2","PersonenMetInkomen_3","GemiddeldPersoonlijkInkomen_4","MedianeKoopkrachtontwikkeling_5","PersonenEconomischZelfstandig_6","PersonenArm_7"
"T009002","T001038","2011JJ00",16309.8,26.9,12807.3,28.8,NA,67.7,NA
"T009002","T001038","2012JJ00",16378,27.1,12891.6,29.1,-1.1,67.6,NA
"T009002","T001038","2013JJ00",16429.5,27.3,12951.4,29.4,-1.1,67.1,NA
"T009002","T001038","2014JJ00",16454.5,28.9,13005.8,29.9,1.9,67.3,NA
"T009002","T001038","2015JJ00",16528.1,28.7,13115.5,30.4,1.3,68.1,NA
"T009002","T001038","2016JJ00",16595.2,30,13225.4,31,3,69.2,NA
"T009002","T001038","2017JJ00",16707.3,31.1,13396.7,32,0.7,70.3,NA
"T009002","T001038","2018JJ00",16806.3,31.5,13551.8,32.3,0.6,71.7,7.1
"T009002","T001038","2019JJ00",16909.9,33.9,13702.3,33.4,1.5,72.8,6.3
"T009002","T001038","2020JJ00",17018.5,34.5,13805.8,34.3,2.5,72.4,5.1
"T009002","T001038","2021JJ00",17098.8,36.1,13960.8,35.7,1.4,74.1,4.9
"T009002","T001038","2022JJ00",17203.8,38.2,14179.3,37.4,-1.1,76.2,3.4
"T009002","T001038","2023JJ00",17398.2,43.2,14371,39.7,0.6,76.5,2.7
"T009002","T001038","2024JJ00",17507.3,45.3,14480.6,42.2,3.6,76.4,3.1
"T009002","3000   ","2011JJ00",8083.8,27.5,6517.2,36.5,NA,78.9,NA
"T009002","3000   ","2012JJ00",8118.9,27.6,6545.8,36.6,-1.1,78.2,NA
"T009002","3000   ","2013JJ00",8144.4,27.8,6568.2,37,-1,77.3,NA
"T009002","3000   ","2014JJ00",8160.7,29.4,6593.4,37.6,1.9,77.5,NA
"T009002","3000   ","2015JJ00",8197.5,29.2,6643.4,38,1.4,78.2,NA
"T009002","3000   ","2016JJ00",8234.2,30.6,6692.6,38.7,3.2,79,NA
"T009002","3000   ","2017JJ00",8295.9,31.8,6773.3,40.1,0.8,79.7,NA
"T009002","3000   ","2018JJ00",8348.7,32.1,6843.1,40.1,0.7,80.8,7
"T009002","3000   ","2019JJ00",8402.2,34.7,6909.8,41.3,1.7,81.4,6.2
"T009002","3000   ","2020JJ00",8460.5,35.2,6952.1,42.1,2.6,80.3,5
"T009002","3000   ","2021JJ00",8502.1,36.9,7018,43.7,1.5,81.5,4.9
"T009002","3000   ","2022JJ00",8554.7,39.1,7124.5,45.5,-1.1,83.1,3.4
"T009002","3000   ","2023JJ00",8645.6,44.2,7210.2,48,0.6,83.1,2.8
"T009002","3000   ","2024JJ00",8700.8,46.3,7260.9,50.6,3.7,82.6,3.2
"T009002","4000   ","2011JJ00",8225.9,26.4,6290.1,20.9,NA,56.5,NA
"T009002","4000   ","2012JJ00",8259,26.6,6345.8,21.3,-1.1,56.8,NA
"T009002","4000   ","2013JJ00",8285.1,26.8,6383.2,21.7,-1.2,56.7,NA
"T009002","4000   ","2014JJ00",8293.7,28.3,6412.4,22.1,1.8,57.1,NA
"T009002","4000   ","2015JJ00",8330.7,28.1,6472.1,22.5,1.3,57.9,NA
"T009002","4000   ","2016JJ00",8360.9,29.3,6532.8,23.1,2.7,59.3,NA
"T009002","4000   ","2017JJ00",8411.4,30.4,6623.4,23.8,0.6,60.7,NA
"T009002","4000   ","2018JJ00",8457.6,30.8,6708.7,24.4,0.4,62.5,7.3
"T009002","4000   ","2019JJ00",8507.7,33.2,6792.5,25.4,1.4,64,6.4
"T009002","4000   ","2020JJ00",8558,33.7,6853.7,26.4,2.4,64.4,5.2
"T009002","4000   ","2021JJ00",8596.8,35.3,6942.7,27.5,1.2,66.5,5
"T009002","4000   ","2022JJ00",8649,37.4,7054.7,29.2,-1.1,69.1,3.4
"T009002","4000   ","2023JJ00",8752.6,42.2,7160.7,31.4,0.5,69.7,2.7
"T009002","4000   ","2024JJ00",8806.5,44.2,7219.6,33.7,3.5,70,3.1
"10680  ","T001038","2011JJ00",2881.1,25.3,98.6,0.8,NA,NA,NA
"10680  ","T001038","2012JJ00",2869,25.4,93.2,0.9,-0.8,NA,NA
"10680  ","T001038","2013JJ00",2849.3,25.8,88.4,0.9,-0.1,NA,NA
"10680  ","T001038","2014JJ00",2822.8,27.3,87.2,0.9,2.6,NA,NA
"10680  ","T001038","2015JJ00",2799.9,27.3,93.7,0.9,2.5,NA,NA
"10680  ","T001038","2016JJ00",2771.3,28.7,97.9,0.9,4.9,NA,NA
"10680  ","T001038","2017JJ00",2752.4,29.7,107.8,0.8,1.7,NA,NA
"10680  ","T001038","2018JJ00",2734.2,30.4,121.5,0.8,1.8,NA,8.8
"10680  ","T001038","2019JJ00",2713.4,32.6,128,0.9,2.4,NA,7.7
"10680  ","T001038","2020JJ00",2700,33.3,111.6,0.9,4.2,NA,6.4
"10680  ","T001038","2021JJ00",2686.6,34.9,134.6,0.9,2.7,NA,5.7
"10680  ","T001038","2022JJ00",2686,37,166.7,1,0,NA,4.1
"10680  ","T001038","2023JJ00",2698,41.2,180,1.1,1.7,NA,2.9
"10680  ","T001038","2024JJ00",2684.3,43.3,173.2,1.1,5.3,NA,2.9
"10680  ","3000   ","2011JJ00",1473.1,25.3,50.5,0.8,NA,NA,NA
"10680  ","3000   ","2012JJ00",1466.7,25.5,47.2,0.9,-0.9,NA,NA
"10680  ","3000   ","2013JJ00",1457.3,25.7,45,0.9,-0.1,NA,NA
"10680  ","3000   ","2014JJ00",1444.1,27.2,44.6,0.9,2.6,NA,NA
"10680  ","3000   ","2015JJ00",1431.9,27.2,47.7,0.9,2.5,NA,NA
"10680  ","3000   ","2016JJ00",1417.8,28.7,50,0.9,4.9,NA,NA
"10680  ","3000   ","2017JJ00",1408.8,29.7,55.3,0.9,1.7,NA,NA
"10680  ","3000   ","2018JJ00",1399.9,30.3,62.8,0.9,1.8,NA,8.8
"10680  ","3000   ","2019JJ00",1389.4,32.5,65.8,0.9,2.4,NA,7.7
"10680  ","3000   ","2020JJ00",1383,33.2,56.5,1,4.2,NA,6.4
"10680  ","3000   ","2021JJ00",1376.4,34.9,67,1,2.6,NA,5.8
"10680  ","3000   ","2022JJ00",1375.8,36.9,84.3,1,0,NA,4.1
"10680  ","3000   ","2023JJ00",1382.1,41.1,91.8,1.1,1.7,NA,2.9
"10680  ","3000   ","2024JJ00",1374.8,43.2,88.8,1.1,5.3,NA,2.9
"10680  ","4000   ","2011JJ00",1408,25.4,48.1,0.8,NA,NA,NA
"10680  ","4000   ","2012JJ00",1402.3,25.4,46,0.8,-0.8,NA,NA
"10680  ","4000   ","2013JJ00",1392.1,25.8,43.4,0.8,-0.1,NA,NA
"10680  ","4000   ","2014JJ00",1378.7,27.4,42.6,0.8,2.7,NA,NA
"10680  ","4000   ","2015JJ00",1367.9,27.3,45.9,0.9,2.5,NA,NA
"10680  ","4000   ","2016JJ00",1353.5,28.7,47.9,0.8,4.9,NA,NA
"10680  ","4000   ","2017JJ00",1343.6,29.8,52.5,0.8,1.7,NA,NA
"10680  ","4000   ","2018JJ00",1334.3,30.4,58.8,0.8,1.8,NA,8.8
"10680  ","4000   ","2019JJ00",1324,32.7,62.3,0.9,2.5,NA,7.7
"10680  ","4000   ","2020JJ00",1317.1,33.3,55.1,0.8,4.2,NA,6.4
"10680  ","4000   ","2021JJ00",1310.1,34.9,67.6,0.9,2.7,NA,5.7
"10680  ","4000   ","2022JJ00",1310.2,37.1,82.4,0.9,0,NA,4.1
"10680  ","4000   ","2023JJ00",1315.9,41.3,88.1,1,1.7,NA,2.8
"10680  ","4000   ","2024JJ00",1309.5,43.4,84.4,1.1,5.4,NA,2.9
"53050  ","T001038","2011JJ00",1989,25.1,1833.1,10.6,NA,64.9,NA
"53050  ","T001038","2012JJ00",1991.2,25.1,1823.4,10.4,-0.3,62.6,NA
"53050  ","T001038","2013JJ00",1991.1,25.3,1813.9,10.2,0.8,60.3,NA
"53050  ","T001038","2014JJ00",1998.9,26.7,1817.9,10.1,3.6,60.4,NA
"53050  ","T001038","2015JJ00",2009.9,26.6,1828.9,10.2,3.8,61.5,NA
"53050  ","T001038","2016JJ00",2019.7,28,1832.9,10.3,6,64.2,NA
"53050  ","T001038","2017JJ00",2034.1,29.5,1852.7,10.7,3.8,66.6,NA
"53050  ","T001038","2018JJ00",2052.2,30.2,1874.6,11.2,4,69.7,8.6
"53050  ","T001038","2019JJ00",2067.4,33.1,1893.7,11.8,4.9,71.9,7.5
"53050  ","T001038","2020JJ00",2072.3,33.9,1875.5,12.4,5.7,71.7,6.5
"53050  ","T001038","2021JJ00",2076.3,35.6,1903.3,13,4.7,75.4,5.8
"53050  ","T001038","2022JJ00",2092.6,37.9,1958.2,14.1,2.1,79.4,5.1
"53050  ","T001038","2023JJ00",2117,43.5,1998.4,15.6,3.9,79.6,4.3
"53050  ","T001038","2024JJ00",2123.4,45.1,2004.2,17.2,6.9,77.7,4.6
"53050  ","3000   ","2011JJ00",1010.6,26,926.5,11.4,NA,68.2,NA
"53050  ","3000   ","2012JJ00",1013.1,25.9,921.4,11.1,-0.2,65.7,NA
"53050  ","3000   ","2013JJ00",1012.5,26.1,915.4,10.9,0.8,63.4,NA
"53050  ","3000   ","2014JJ00",1016.7,27.6,917.9,10.8,3.6,63.9,NA
"53050  ","3000   ","2015JJ00",1023.6,27.4,925,11,3.9,65.2,NA
"53050  ","3000   ","2016JJ00",1029,28.9,927.4,11.2,6.1,67.5,NA
"53050  ","3000   ","2017JJ00",1037.9,30.3,938.9,11.5,3.9,69.3,NA
"53050  ","3000   ","2018JJ00",1046.9,31,950.3,12.2,4.1,71.9,8.5
"53050  ","3000   ","2019JJ00",1054.3,34.1,959.3,12.8,5,73.8,7.4
"53050  ","3000   ","2020JJ00",1056.4,34.9,948.2,13.4,5.7,73,6.4
"53050  ","3000   ","2021JJ00",1058.3,36.6,961.2,14.1,4.8,76.5,5.7
"53050  ","3000   ","2022JJ00",1065.3,39.1,990.4,15.3,2.1,80.3,5
"53050  ","3000   ","2023JJ00",1076.5,45,1012,16.9,4,80.7,4.2
"53050  ","3000   ","2024JJ00",1080.4,46.6,1016.3,18.5,6.9,78.7,4.5
"53050  ","4000   ","2011JJ00",978.3,24.3,906.6,9.8,NA,61.1,NA
