"Perioden","Regio.s","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2005,"Nederland",200
2006,"Nederland",201
2007,"Nederland",216
2008,"Nederland",232
2009,"Nederland",241
2010,"Nederland",242
2011,"Nederland",236
2012,"Nederland",232
2013,"Nederland",223
2014,"Nederland",211
2015,"Nederland",206
2016,"Nederland",208
2017,"Nederland",217
2018,"Nederland",230
2019,"Nederland",250
2020,"Nederland",271
2021,"Nederland",290
2022,"Nederland",317
2023,"Nederland",368
2024,"Nederland",378
2025,"Nederland",398
2005,"Noord-Nederland (LD)",157
2006,"Noord-Nederland (LD)",158
2007,"Noord-Nederland (LD)",175
2008,"Noord-Nederland (LD)",189
2009,"Noord-Nederland (LD)",196
2010,"Noord-Nederland (LD)",197
2011,"Noord-Nederland (LD)",194
2012,"Noord-Nederland (LD)",189
2013,"Noord-Nederland (LD)",181
2014,"Noord-Nederland (LD)",170
2015,"Noord-Nederland (LD)",165
2016,"Noord-Nederland (LD)",165
2017,"Noord-Nederland (LD)",170
2018,"Noord-Nederland (LD)",176
2019,"Noord-Nederland (LD)",189
2020,"Noord-Nederland (LD)",201
2021,"Noord-Nederland (LD)",216
2022,"Noord-Nederland (LD)",240
2023,"Noord-Nederland (LD)",279
2024,"Noord-Nederland (LD)",291
2025,"Noord-Nederland (LD)",306
2005,"Drenthe (PV)",176
2006,"Drenthe (PV)",177
2007,"Drenthe (PV)",193
2008,"Drenthe (PV)",206
2009,"Drenthe (PV)",214
2010,"Drenthe (PV)",215
2011,"Drenthe (PV)",211
2012,"Drenthe (PV)",207
2013,"Drenthe (PV)",198
2014,"Drenthe (PV)",186
2015,"Drenthe (PV)",181
2016,"Drenthe (PV)",180
2017,"Drenthe (PV)",185
2018,"Drenthe (PV)",190
2019,"Drenthe (PV)",203
2020,"Drenthe (PV)",215
2021,"Drenthe (PV)",230
2022,"Drenthe (PV)",255
2023,"Drenthe (PV)",294
2024,"Drenthe (PV)",307
2025,"Drenthe (PV)",323
2005,"Noord-Drenthe (CR)",182
2006,"Noord-Drenthe (CR)",183
2007,"Noord-Drenthe (CR)",201
2008,"Noord-Drenthe (CR)",216
2009,"Noord-Drenthe (CR)",224
2010,"Noord-Drenthe (CR)",225
2011,"Noord-Drenthe (CR)",222
2012,"Noord-Drenthe (CR)",218
2013,"Noord-Drenthe (CR)",209
2014,"Noord-Drenthe (CR)",198
2015,"Noord-Drenthe (CR)",193
2016,"Noord-Drenthe (CR)",193
2017,"Noord-Drenthe (CR)",202
2018,"Noord-Drenthe (CR)",207
2019,"Noord-Drenthe (CR)",221
2020,"Noord-Drenthe (CR)",234
2021,"Noord-Drenthe (CR)",250
2022,"Noord-Drenthe (CR)",278
2023,"Noord-Drenthe (CR)",321
2024,"Noord-Drenthe (CR)",334
2025,"Noord-Drenthe (CR)",352
2005,"Assen",148
2006,"Assen",149
2007,"Assen",161
2008,"Assen",173
2009,"Assen",181
2010,"Assen",182
2011,"Assen",181
2012,"Assen",177
2013,"Assen",170
2014,"Assen",162
2015,"Assen",159
2016,"Assen",159
2017,"Assen",168
2018,"Assen",172
2019,"Assen",184
2020,"Assen",195
2021,"Assen",210
2022,"Assen",237
2023,"Assen",277
2024,"Assen",284
2025,"Assen",294
2005,"Heerlen",130
2006,"Heerlen",129
2007,"Heerlen",135
2008,"Heerlen",134
2009,"Heerlen",137
2010,"Heerlen",139
2011,"Heerlen",135
2012,"Heerlen",133
2013,"Heerlen",129
2014,"Heerlen",123
2015,"Heerlen",119
2016,"Heerlen",123
2017,"Heerlen",124
2018,"Heerlen",129
2019,"Heerlen",138
2020,"Heerlen",150
2021,"Heerlen",159
2022,"Heerlen",170
2023,"Heerlen",203
2024,"Heerlen",199
2025,"Heerlen",214
2005,"Kampen",179
2006,"Kampen",181
2007,"Kampen",196
2008,"Kampen",212
2009,"Kampen",220
2010,"Kampen",220
2011,"Kampen",217
2012,"Kampen",213
2013,"Kampen",206
2014,"Kampen",196
2015,"Kampen",192
2016,"Kampen",191
2017,"Kampen",194
2018,"Kampen",202
2019,"Kampen",220
2020,"Kampen",234
2021,"Kampen",250
2022,"Kampen",275
2023,"Kampen",313
2024,"Kampen",337
2025,"Kampen",361
